Topic,Word,Question,
Fit for life,"- Carbohydrate
 - Protein
 - Fiber
 - vitamin
 - calcium
 - grain
 - dairy
 - balanced diet
 - nutrient
 - unhealthy food
 - exercise
 - sleep","Foods and nutrients
- These are substances in food that our bodies need to grow, stay healthy, and get energy: nutrient
- This nutrient provides the body with energy and is found in foods like bread, pasta, and rice: Carbohydrate
- This nutrient can be found in foods like meat, eggs, beans, and nuts: Protein
- This nutrient helps keep our digestive system healthy and can be found in fruits, vegetables, and whole grains: fiber
- This nutrient is important for storing energy and protecting our organs. It can be found in foods like butter, oils, nuts, and avocados: fat
- These are essential nutrients that our body needs in small amounts to stay healthy. Examples include vitamin C in oranges and vitamin D from sunlight: vitamin
- This mineral is commonly found in dairy products like milk, cheese, and yogurt: calcium
- These are foods that are high in sugar, fat, or salt and offer little nutritional value: unhealthy food
Food groups
- This food group helps build and repair muscles and tissues: protein
- This food group includes items like wheat, rice, oats, and corn: grain
- This food group includes milk, cheese, and yogurt, which provide calcium and protein: dairy
- These foods are often green, leafy, or colorful and are packed with vitamins and minerals: vegetable
- These foods are usually sweet or tart and are rich in vitamins, especially vitamin C: fruit
Healthy life
- This type of diet includes a variety of foods from all the different food groups in the right amounts: balanced diet
- Physical activity that helps keep our bodies strong and healthy: exercise
- Rest that is essential for our bodies to repair and our brains to process information: sleep
",
Materials,"- paper
- fabric
- wood
- metal
- plastic
- rubber
- glass
- alloy
- flexible
- elastic
- transparent
- waterproof
- absorbent","Natural Materials
- Thin material made from wood pulp used for writing or packaging: paper
- A material made by weaving or knitting threads together, used for making clothes: fabric
- Hard material from trees used for building or making items: wood
- Solid material that is typically hard, shiny, and good at conducting heat and electricity: metal
- Transparent material used in windows: glass
Synthetic Materials
- A material commonly used for making bottles and containers: plastic
- Elastic material made from the sap of rubber trees or synthetic sources, used for gloves: rubber
- A mixture of two or more metals: alloy
Properties of materials
- Able to bend without breaking: flexible
- Able to return to its original shape after being stretched or compressed: elastic
- Allowing light to pass through: transparent
- Resistant to water, not allowing water to pass through: waterproof
- able to take liquid in through the surface and to hold it: absorbent
",
Matter and changes,"- matter
 - mass
 - volume
 - state
 - solid
 - liquid
 - gas
- particle
 - melting
 - freezing
 - evaporation
 - evaporate
 - boiling
 - boilt
 - boiling point
 - condensation
 - condense
 - water cycle
 - heat","State of matter
- Anything that has mass and occupies space: Matter 
- The amount of matter in an object: Mass
- The amount of space occupied by an object: volume
- Three states of matter: solid, liquid, gas
- A state of matter that has a definite shape: solid
- A state of matter that has no definite volume: gas
- A state of matter that a definite volume and can flow: liquid
Matter changes
- The process in which a gas changes into a liquid: condensation
- The process of heating a liquid until it changes into a gas at boiling point: boiling
- The process in which a liquid changes into a gas: evaporation
- The process of changing a liquid into a solid: freezing
- The process of changing a solid into a liquid: melting
- The continuous movement of water from the Earth’s surface up to the sky and back down the Earth again: water cycle","Particle models
- A state that particles are very close together and hard to move: Solid
- A state that particles are close together and easy to move: Liquid
- A state that particles are far away and easy to move: Gas
Matter changes in life
- what's process that happens when making ice from water? freezing
- what's process that happens when ice cream is kept at room temperature? - melting
- what's process that happens when wet clothes dry in sunlight? - evaporation
- what processes happen when boiling water? - boiling and evaporation
- What processes occur in water cycle? - evaporation, condensation"
Sound,"- sound
- sound source
- vibrate
- vibration
- travel
- record (v, n)
- replay
- noise
- noise pollution
- soundproof
- decibel","Basic of sound
- What we hear when something makes a noise? Sound
- Where does sound come from? Sound source
- How can sound soures produce sound? Vibrate
- This movement poduces sound: vibration
- The way sound move from one place to another: travel
- To capture sounds or voices so they can be played back later: record
- The captured sound or voice: record
- To play a recorded sound or video again: replay
Impact of sound
- A sound, especially one that is loud or unpleasant: noise
- This occures when sounds get too loud or last too long: noise pollution 
- To prevent sound from coming into a room or building: soundproof
- A unit that measures the loudness of sound: decibel
",
Light and shadow,"- Light
 - Light source
 - Reflect
 - Reflection
 - Absorption
 - absorp
 - Transmission
 - transmit
 - Travel
 - Straight line
 - Opaque
 - Transparent
 - Translucent
 - Shadow
 - Block
 -","Light
- What makes things visible and helps us see? light
- Where does light come from? light source
- We are able to see things when they ……………. light into our eyes. (reflect)
- The process of light bouncing back from a surface: reflection
- When light is taken in by a material and not reflected: absorption
- The action of taking in light: absorb
- When light passes through a material: Transmission
- The action of light passing through something: transmit
- What light does as it moves from one place to another: travel
- Light travels in  …………….  (traight lines)
What materials let light go through?
- A material that does not let any light pass through: opaque.
- A material that allows light to pass through completely: transparent.
- A material that lets some light through but not all: translucent.
- 
Shadow
- The dark area created when an object blocks light: shadow
- What happens when an object stops light from passing through: block
- When the path of light is blocked, a ……………….. is formed. shadow",
Plants,"- Root
 - Stem
 - Seed
 - Flower
 - Leaf
 - Fruit
 - Transport
 - Dispersal
 - disperse
 - Grow
 - Mineral
 - Factor
 - Wither 
 - sunlight
 - water
 - air
 - minerals
 - photosynthesis
 - chlorophyll
 - respiration
 - carbon dioxide
 - release
 - occur
 - sugar
 - oxygen
 - reproduction
 - pollen grain
 - pollination
 - pollinator
 - fertilization
 - stigma
 - ovary
 - ovule
 - anther","Parts of a plant:
- The part of the plant that grows underground and absorbs water and nutrients: root
- The part of the plant that supports leaves, transports water and nutrients: stem
- The part of the plant that use sunlight and chlorophyll to convert carbon dioxide and water into sugar: leaf
- The part of the plant that produces fruits and seeds: flowers
- The part of the plant that protect seeds and helps with seed dispersal: fruit
- The part of the plant that produces new plant: seed
Plant growth and function:
- What plants do when they increase in size: grow.
- The process of moving water and nutrients through the plant: transport.
- 
Plant needs
- What plants need from the sun to make food: sunlight
- Plants use ……………….. and carbon dioxide to make fruit: water
- What plants need from the atmosphere to live: air
- Nutrients absorbed by roots from the soil: minerals
Photosynthesis and Respiration
- The process plants use to make food: photosynthesis
- The process plants use energy from sunlight to turn water and carbon dioxide into sugar and release oxygen into the air: photosynthesis  
- The process by which plants convert sugar and oxygen into energy: respiration
- The process of plants occurs in the presence of light (day time): photosynthesis
- The process of plants occurs everytime (day time and night time): respiration
- The gas plants take in from the air during photosynthesis: carbon dioxide
- The substance plants produce during photosynthesis: sugar
- The gas released by plants during photosynthesis: oxygen
- What do leaves contain that allows plants to carry out photosynthesis? chlorophyll
Reproduction
- The process by which plants make more of themselves: reproduction
- The process when the stigma receives pollen grains from the anther: pollination
- The animal that helps move pollen from one flower to another: pollinator.
- The process when the pollen and ovules join inside the ovary: fertilization
- The process of spreading seeds away from the parent plant: dispersal
- What part of plants develops into fruit? ovary
- What part of plants develops into seed? ovule",
Animals and food chains,"- herbivore
 - carnivore
 - omnivore
 - vertebrate (n, adj)
 - invertebrate (n, adj)
 - amphibian
 - reptile
 - life cycle
 - food chain
 - relationship
 - food producer
 - food consumer
 - predator
 - prey
 - food web
 - organism","Animals
- What do we call an animal eats only plants? herbivore
- What do we call an animal eats only meat? carnivore
- What do we call an animal eats both plants and meat? omnivore
- What do we call an animal with backbone? verterbrate
- What do we call an animal without backbone? inverterbrate
- An animal has fins and scales. It breathes through gills: fish
- An animal has smooth and moist skin, does not have scales. It breathes through lung: amphibian
- An animal has dry skin and scales. It breathes through lung: reptile
- An animal has feather and wings. It breathes through lung: bird
- An animal has fur or hair. It breathes through lungs: mammal
Food chains
- What is used to represent the feeding relationship between plants and animals? Food chain
- Starting point of feeding relationships in any habitat: food producer
- An animal cannot make their own food. It depends on other living things for food: Food consumer
- An animal that catches and eats other animals: predator
- An animal that is hunted and killed for food by another animal: prey
- The connection of many food chains: food web
- A single living plant, animal, virus: organism
","Animals
- Frog is an animal in this group: Amphibian
- Snake is an animal in this group: Reptile
- Crocodile is an animal in this group: Reptile
- Eagle is an animal in this group: Bird
- Salmon is an animal in this group: Fish
- Whale is an animal in this group: Mammal
- Animals are classified into two main groups: Verterbrate and Inverterbrate
Animals
- This animal often hunts other animals for food: carnivore
- This animal has flat teeth designed for grinding leaves and stems: herbivore
- This animal has a diverse diet that can include fruits, vegetables, and meat: omnivore
- This animal group includes species such as mammals, birds, reptiles, amphibians, and fish: verterbrate
- This group includes animals like insects, spiders, and mollusks: inverterbrate
Food chains
- It usually starts with a plant and ends with a top predator: food chain
- These are often green plants that make their own food using sunlight: food producer
- They can be herbivores, carnivores, or omnivores: food consumer
- This is more complex than a food chain and shows how different food chains are connected: food web
- This term includes anything that is alive, like plants, animals, bacteria, and fungi: organism
"
Environment and natural resources,"- Natural resource
 - Renewable
 - Non-renewable
 - Fossil fuel
 - Hydropower energy
 - Biomass energy
 - Geothermal energy
 - Nuclear energy","Natural resources
- Anything that is supplied by nature and can be used by the living beings: natural resources
- A type of resource that has unlimited supply: renewable resource
- Air, water and sunlight are grouped into this type of natural resources: renewable resource
- A type of resource that has limited supply: non-renewable resource
- Coal, petroleum, and natural gas are grouped into this type of natural resources: non-renewable resource
Energy from natural resources
- Energy sources like coal, oil, and natural gas formed from ancient plant and animal remains: fossil fuel
- Energy generated from moving water: hydropower energy
- Energy produced from organic materials like plants and animal waste: biomass energy
- Energy derived from the heat stored within the Earth: geothermal energy
- Energy released from atomic reactions: nuclear energy",
The solar system,"- Planet
 - Statellite
 - Orbit (n, v)
 - Axis
 - Tilt
 - Hemisphere
 - Rotate
 - Rotation 
 - Revolution
 - Mercury
 - Venus
 - Earth
 - Mars
 - Jupiter
 - Saturn
 - Uranus
 - Neptune
 - Sun","Celestial Bodies
- A large round object in space that travels around a star, like Earth: Planet
- An object that orbits a planet; can be natural (like a moon) or man-made: Statellite
- The star at the center of our solar system that gives us light and heat: Sun
Orbital Mechanics
- The path an object takes as it goes around a star or planet: orbit
- To travel around a star or planet in a curved path: orbit
- An imaginary line through the middle of a planet that it spins around: axis
- The angle at which a planet's axis is tilted compared to its orbit: Tilt
Movements and Positions
- Half of a sphere, often referring to half of Earth: Hemisphere
- To spin around on an axis.rotate
- The act of spinning around an axis: rotation
- The act of traveling in a path around another object: revolution
Planets of the Solar System
- The smallest planet and closest to the Sun: Mercury
- The second planet from the Sun, known for its thick, cloudy atmosphere: Venus
- The third planet from the Sun, where we live: Earth
- The fourth planet from the Sun, known as the Red Planet: Mars
- The largest planet in our solar system, fifth from the Sun: Jupiter
- The sixth planet from the Sun, famous for its rings: Saturn
- The seventh planet from the Sun, rotates on its side: Uranus
- The eighth planet from the Sun, known for its deep blue color: Neptune","Planets of the Solar System
- This is the largest planet in the solar system: Jupiter
- This is the smallest planet in the solar system: Mercury
- This is khown for its rings made from dust and ice: Saturn
- This is the hottest planet in the solar system: Venus
- This planet looks like it is spinning on its side because it rotates at a nearly 90-degree angle: Uranus
- This is the only planet that has life in the solar system: Earth
- This planet is red, very dusty and cold: Mars
- This is a cold, dark planet that is the farthest planet from the Sun: Neptune"
Organ systems of human body,"- Organ system
 - Function
 - Digestive system
 - Esophagus
 - Foodpipe
 - Small intestine
 - Large intestine
 - Nervous system
 - Nerve
 - Spinal cord
 - Urinary system
 - Kidney
 - Bladder
 - Respiratory system
 - Trachea
 - Windpipe
 - Oxygen
 - Carbondioxide
 - Circulatory system
 - Blood vessel
 - Skeletal system
 - Spine
 - Backbone
 - Rib
 - Joint
 - Muscular system
 - Muscle","Digestive system
- The body system that helps us digest food: digestive system
- The tube that connects the mouth to the stomach: esophagus/ foodpipe
- This organ absorbs the nutrients into the blood: small intestine
- Where indigestible food and water are processed, stored and dispersed? large intestine
Nervous system
- The system that controls the body: nervous system
- A fiber that sends messages between the brain and the body: nerve
- The bundle of nerves inside the spine: spinal cord
Urinary system
- The system that removes waste from the blood and makes urine: urinary system
- The organ that filters wastes from the blood and produce urine to get rid of it: kidney
- The organ that stores urine before it leaves the body: bladder
Respiratory System
- The system that helps us breathe: Respiratory System
- The tube that carries air to the lungs: trachea/ windpipe
- The gas we breathe in that our body needs: oxygen
- The gas we breathe out as waste: carbon dioxide
Circulatory System
- The system that carries blood through the body: Circulatory System
- Tubes that carry blood through the body: blood vessel
Skeletal System
- The system of bones that supports the body: Skeletal System
- The bone holds your body upright and also protects the spinal cord: spine/ backbone
- The bones that protect the chest organs: rib
- Where two bones meet: joint
Muscular system
- The system of muscles that helps the body move: Muscular system
- The ……………….. are attached to bones and move the bones. Muscle
",
